IdRun;NameConv;Time(ms);std;NbMicroKernel;AxeFuse;SizeAxeFuse;Schema;Time_search(3.508518695831299)
2;ResNet18_1;0.4535329999999999;0.08937900969131402;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;36;[V f, U (2, f), U (14, y), T (3, c), Hoist_vars [c], T (4, x), T (1, c),  T (7, w), T (7, h), T (28, x), T (2, y), T (2, f), T (4, y)];6.2690911293029785
3;ResNet18_1;0.7673243000000001;0.05779971213258765;1;axe_yy_1,axe_xx_0;113;[V f, U (4, f), U (4, y), T (3, c), Hoist_vars [c], T (7, w), T (7, h),  T (112, x), T (1, y), T (1, c), T (28, y)];7.175339937210083
4;ResNet18_1;5.6387277;0.005930855082532356;1;axe_yy_0;2;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (28, x), T (1, c),  T (7, w), T (7, h), T (4, x),  Lambda_apply y [((Iter 2), (Arg 10)), ((Iter 3), (Arg 12))], T (2, f),  T (2, y)];8.377753257751465
6;ResNet18_1;0.4564004;0.08815824194163585;1;axe_yy_1,axe_xx_0;126;[V f, U (4, f), U (4, y), T (3, c), Hoist_vars [c], T (7, w), T (7, h),  T (112, x), T (14, y), T (1, c), T (2, y)];10.243358612060547
7;ResNet18_1;0.44798520000000003;0.0865924169957162;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;39;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (4, x), T (1, c),  T (7, w), T (7, h), T (28, x), T (2, y), T (2, f), T (7, y)];11.102391719818115
8;ResNet18_1;6.5844413;0.030517375198565296;1;axe_yy_0;1;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (14, x), T (1, c),  T (7, w), T (7, h), T (8, x),  Lambda_apply y [((Iter 1), (Arg 8)), ((Iter 8), (Arg 13))], T (2, f),  T (1, y)];12.23916220664978
9;ResNet18_1;0.9623667999999999;0.121412643340634;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;25;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (14, x), T (1, c),  T (7, w), T (7, h), T (8, x), T (14, y), T (2, f), T (1, y)];13.153088808059692
10;ResNet18_1;6.461038;0.07471060893206537;1;axe_yy_0;1;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (16, x), T (1, c),  T (7, w), T (7, h), T (7, x),  Lambda_apply y [((Iter 7), (Arg 10)), ((Iter 3), (Arg 14))], T (2, f),  T (1, y)];14.329599142074585
12;ResNet18_1;0.4618220999999999;0.08775609735904394;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;45;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (4, x), T (1, c),  T (7, w), T (7, h), T (28, x), T (1, y), T (2, f), T (14, y)];16.16037392616272
13;ResNet18_1;0.6128262;0.10122411117693253;1;axe_yy_1,axe_xx_0;116;[V f, U (4, f), U (4, y), T (3, c), Hoist_vars [c], T (7, w), T (7, h),  T (112, x), T (4, y), T (1, c), T (7, y)];17.051904439926147
14;ResNet18_1;0.5190455999999999;0.12473457294607616;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;27;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (7, x), T (1, c),  T (7, w), T (7, h), T (16, x), T (7, y), T (2, f), T (2, y)];17.934555768966675
15;ResNet18_1;0.4856828;0.044513043589042525;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;36;[V f, U (2, f), U (14, y), T (3, c), Hoist_vars [c], T (4, x), T (1, c),  T (7, w), T (7, h), T (28, x), T (4, y), T (2, f), T (2, y)];18.82384419441223
16;ResNet18_1;0.8996469000000001;0.06501274086892507;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;21;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (28, x), T (1, c),  T (7, w), T (7, h), T (4, x), T (14, y), T (2, f), T (1, y)];19.702075481414795
18;ResNet18_1;6.5096397999999995;0.06104849300809965;1;axe_yy_0;1;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (14, x), T (1, c),  T (7, w), T (7, h), T (8, x),  Lambda_apply y [((Iter 7), (Arg 10)), ((Iter 3), (Arg 14))], T (2, f),  T (1, y)];21.871160745620728
20;ResNet18_1;0.5913738000000001;0.061417028030994796;1;axe_yy_1,axe_xx_0;113;[V f, U (4, f), U (7, y), T (3, c), Hoist_vars [c], T (7, w), T (7, h),  T (112, x), T (1, y), T (1, c), T (16, y)];23.73113179206848
21;ResNet18_1;6.5072034;0.038005487272761145;1;axe_yy_0;1;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (28, x), T (1, c),  T (7, w), T (7, h), T (4, x),  Lambda_apply y [((Iter 7), (Arg 10)), ((Iter 3), (Arg 14))], T (2, f),  T (1, y)];24.910334825515747
23;ResNet18_1;5.5050138;0.004926531270579668;1;axe_yy_0;1;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (7, x), T (1, c),  T (7, w), T (7, h), T (16, x),  Lambda_apply y [((Iter 1), (Arg 8)), ((Iter 8), (Arg 13))], T (2, f),  T (1, y)];27.039018392562866
25;ResNet18_1;5.5970936;0.011670459332862574;1;axe_yy_0;1;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (8, x), T (1, c),  T (7, w), T (7, h), T (14, x),  Lambda_apply y [((Iter 7), (Arg 10)), ((Iter 3), (Arg 14))], T (2, f),  T (1, y)];29.15294861793518
26;ResNet18_1;6.205541;0.008294696799762882;1;axe_yy_0;1;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (28, x), T (1, c),  T (7, w), T (7, h), T (4, x),  Lambda_apply y [((Iter 4), (Arg 7)), ((Iter 7), (Arg 12))], T (2, f),  T (1, y)];30.273868083953857
27;ResNet18_1;0.48194210000000004;0.08585257957155396;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;67;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (2, x), T (1, c),  T (7, w), T (7, h), T (56, x), T (2, y), T (2, f), T (7, y)];31.1208393573761
28;ResNet18_1;6.587769700000001;0.028386029504141784;1;axe_yy_0;1;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (16, x), T (1, c),  T (7, w), T (7, h), T (7, x),  Lambda_apply y [((Iter 1), (Arg 8)), ((Iter 8), (Arg 13))], T (2, f),  T (1, y)];32.260578632354736
29;ResNet18_1;0.521633;0.049548327362283366;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;31;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (8, x), T (1, c),  T (7, w), T (7, h), T (14, x), T (14, y), T (2, f), T (1, y)];33.17073130607605
30;ResNet18_1;5.424896500000001;0.1213735601136014;1;axe_yy_0;1;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (2, x), T (1, c),  T (7, w), T (7, h), T (56, x),  Lambda_apply y [((Iter 1), (Arg 7)), ((Iter 7), (Arg 15))], T (2, f),  T (1, y)];34.27561545372009
31;ResNet18_1;0.5188733;0.10747639502425635;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;39;[V f, U (2, f), U (14, y), T (3, c), Hoist_vars [c], T (4, x), T (1, c),  T (7, w), T (7, h), T (28, x), T (1, y), T (2, f), T (8, y)];35.16615343093872
32;ResNet18_1;5.400496599999999;0.11822305374773558;1;axe_yy_0;1;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (4, x), T (1, c),  T (7, w), T (7, h), T (28, x),  Lambda_apply y [((Iter 1), (Arg 7)), ((Iter 7), (Arg 15))], T (2, f),  T (1, y)];36.27282977104187
33;ResNet18_1;5.0276294;0.020298055671418288;1;axe_yy_0;1;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (2, x), T (1, c),  T (7, w), T (7, h), T (56, x),  Lambda_apply y [((Iter 7), (Arg 10)), ((Iter 3), (Arg 14))], T (2, f),  T (1, y)];37.39220428466797
34;ResNet18_1;0.4719488;0.058074125730483456;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;45;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (4, x), T (1, c),  T (7, w), T (7, h), T (28, x), T (14, y), T (2, f), T (1, y)];38.274792432785034
38;ResNet18_1;0.43276839999999994;0.0762920340706682;1;axe_yy_1,axe_xx_0;120;[V f, U (4, f), U (7, y), T (3, c), Hoist_vars [c], T (7, w), T (7, h),  T (112, x), T (8, y), T (1, c), T (2, y)];42.00679111480713
39;ResNet18_1;0.6924684000000001;0.046622149541178375;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;15;[V f, U (2, f), U (14, y), T (3, c), Hoist_vars [c], T (16, x), T (1, c),  T (7, w), T (7, h), T (7, x), T (4, y), T (2, f), T (2, y)];42.95089912414551
40;ResNet18_1;5.2184771;0.11578568856680867;1;axe_yy_0;1;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (2, x), T (1, c),  T (7, w), T (7, h), T (56, x),  Lambda_apply y [((Iter 3), (Arg 7)), ((Iter 7), (Arg 13))], T (2, f),  T (1, y)];44.0474009513855
41;ResNet18_1;0.4940524;0.07406713937934961;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;129;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (1, x), T (1, c),  T (7, w), T (7, h), T (112, x), T (14, y), T (2, f), T (1, y)];44.91056561470032
42;ResNet18_1;5.3227926;0.008509760657033882;1;axe_yy_0;2;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (28, x), T (1, c),  T (7, w), T (7, h), T (4, x),  Lambda_apply y [((Iter 3), (Arg 10)), ((Iter 2), (Arg 13))], T (2, f),  T (2, y)];46.111857414245605
44;ResNet18_1;0.48461410000000005;0.04204136815673344;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;25;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (8, x), T (1, c),  T (7, w), T (7, h), T (14, x), T (2, y), T (2, f), T (7, y)];47.96642279624939
45;ResNet18_1;5.6437002;0.062353922104066546;1;axe_yy_0;1;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (7, x), T (1, c),  T (7, w), T (7, h), T (16, x),  Lambda_apply y [((Iter 1), (Arg 7)), ((Iter 7), (Arg 15))], T (2, f),  T (1, y)];49.097031354904175
46;ResNet18_1;0.8862791000000001;0.04758565884896416;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;16;[V f, U (2, f), U (14, y), T (3, c), Hoist_vars [c], T (14, x), T (1, c),  T (7, w), T (7, h), T (8, x), T (2, y), T (2, f), T (4, y)];50.01481032371521
47;ResNet18_1;4.853963299999999;0.012567068298135297;1;axe_yy_0;1;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (1, x), T (1, c),  T (7, w), T (7, h), T (112, x),  Lambda_apply y [((Iter 1), (Arg 8)), ((Iter 8), (Arg 13))], T (2, f),  T (1, y)];51.10979413986206
48;ResNet18_1;5.5844278;0.012905055046763673;1;axe_yy_0;1;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (8, x), T (1, c),  T (7, w), T (7, h), T (14, x),  Lambda_apply y [((Iter 3), (Arg 7)), ((Iter 7), (Arg 13))], T (2, f),  T (1, y)];52.23113226890564
49;ResNet18_1;5.6292613;0.009359341868422192;1;axe_yy_0;2;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (16, x), T (1, c),  T (7, w), T (7, h), T (7, x),  Lambda_apply y [((Iter 2), (Arg 10)), ((Iter 3), (Arg 12))], T (2, f),  T (2, y)];53.41824460029602
50;ResNet18_1;5.366603;0.004874336447148471;1;axe_yy_0;1;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (8, x), T (1, c),  T (7, w), T (7, h), T (14, x),  Lambda_apply y [((Iter 4), (Arg 7)), ((Iter 7), (Arg 12))], T (2, f),  T (1, y)];54.53163933753967
52;ResNet18_1;0.5139707;0.07023903646271067;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;39;[V f, U (2, f), U (14, y), T (3, c), Hoist_vars [c], T (4, x), T (1, c),  T (7, w), T (7, h), T (28, x), T (8, y), T (2, f), T (1, y)];56.41735816001892
53;ResNet18_1;0.9838502;0.06010917030836479;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;19;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (14, x), T (1, c),  T (7, w), T (7, h), T (8, x), T (7, y), T (2, f), T (2, y)];57.30723237991333
54;ResNet18_1;0.8279358;0.11214475825895742;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;15;[V f, U (2, f), U (14, y), T (3, c), Hoist_vars [c], T (16, x), T (1, c),  T (7, w), T (7, h), T (7, x), T (2, y), T (2, f), T (4, y)];58.23491191864014
57;ResNet18_1;0.602438;0.11677511053302413;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;24;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (16, x), T (1, c),  T (7, w), T (7, h), T (7, x), T (1, y), T (2, f), T (14, y)];61.02162289619446
58;ResNet18_1;0.5776833;0.02504398719872694;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;25;[V f, U (2, f), U (14, y), T (3, c), Hoist_vars [c], T (8, x), T (1, c),  T (7, w), T (7, h), T (14, x), T (1, y), T (2, f), T (8, y)];61.92602348327637
59;ResNet18_1;0.4904099000000001;0.08306497235471763;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;27;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (7, x), T (1, c),  T (7, w), T (7, h), T (16, x), T (2, y), T (2, f), T (7, y)];62.800543546676636
60;ResNet18_1;0.48992949999999996;0.08690385673979033;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;123;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (1, x), T (1, c),  T (7, w), T (7, h), T (112, x), T (2, y), T (2, f), T (7, y)];63.681432247161865
61;ResNet18_1;5.148877700000001;0.0024810511502183033;1;axe_yy_0;1;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (2, x), T (1, c),  T (7, w), T (7, h), T (56, x),  Lambda_apply y [((Iter 1), (Arg 8)), ((Iter 8), (Arg 13))], T (2, f),  T (1, y)];64.77030372619629
62;ResNet18_1;0.4190004;0.067729114748681;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;64;[V f, U (2, f), U (14, y), T (3, c), Hoist_vars [c], T (2, x), T (1, c),  T (7, w), T (7, h), T (56, x), T (2, y), T (2, f), T (4, y)];65.66847586631775
63;ResNet18_1;5.569293699999999;0.011134485152444144;1;axe_yy_0;2;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (14, x), T (1, c),  T (7, w), T (7, h), T (8, x),  Lambda_apply y [((Iter 2), (Arg 10)), ((Iter 3), (Arg 12))], T (2, f),  T (2, y)];66.85724353790283
